"id_category";"id_product";"position"
"52";"4467";"11"
"52";"462";"13"
"52";"418";"14"
"52";"417";"16"
"52";"914";"16"
"52";"916";"17"
"52";"4465";"19"
"52";"1813";"21"
"52";"172";"22"
"52";"2221";"22"
"52";"554";"23"
"52";"555";"23"
"52";"915";"23"
"52";"911";"25"
"52";"535";"26"
"52";"912";"26"
"52";"913";"26"
"52";"2220";"26"
"52";"2222";"27"
"52";"497";"28"
"52";"514";"28"
"52";"1167";"28"
"52";"499";"30"
"52";"513";"30"
"52";"498";"31"
"52";"515";"32"
"52";"516";"32"
"52";"2121";"33"
"52";"1133";"34"
"52";"500";"35"
"52";"1612";"36"
"52";"2122";"36"
"52";"1191";"40"
"52";"1126";"41"
"52";"1527";"43"
"52";"521";"44"
"52";"1530";"44"
"52";"1532";"44"
"52";"1093";"45"
"52";"1192";"45"
"52";"339";"46"
"52";"1200";"46"
"52";"1528";"47"
"52";"1407";"48"
"52";"1719";"49"
"52";"1531";"51"
"52";"1736";"52"
"52";"348";"53"
"52";"1735";"54"
"52";"1295";"55"
"52";"349";"56"
"52";"1199";"56"
"52";"1529";"56"
"52";"1347";"57"
"52";"1634";"61"
"52";"1271";"62"
"52";"1712";"62"
"52";"1436";"63"
"52";"1633";"63"
"52";"1635";"63"
"52";"1442";"65"
"52";"1632";"66"
"52";"1457";"67"
"52";"1464";"68"
"52";"1049";"69"
"52";"1477";"70"
"52";"1061";"71"
"52";"1284";"71"
"52";"1052";"72"
"52";"1801";"73"
"52";"1463";"74"
"52";"495";"75"
"52";"1073";"76"
"52";"1102";"78"
"52";"820";"80"
"52";"1307";"80"
"52";"1485";"80"
"52";"1011";"81"
"52";"1331";"82"
"52";"1802";"83"
"52";"1333";"84"
"52";"578";"85"
"52";"1352";"86"
"52";"1335";"87"
"52";"1283";"88"
"52";"1281";"89"
"52";"1303";"90"
"52";"1337";"91"
"52";"1376";"92"
"52";"1150";"93"
"52";"1100";"94"
"52";"421";"95"
"52";"1328";"96"
"52";"1601";"97"
"52";"1309";"98"
"52";"1282";"99"
"52";"1571";"100"
"52";"1397";"101"
"52";"1362";"102"
"52";"1279";"103"
"52";"572";"104"
"52";"1803";"105"
"52";"1152";"106"
"52";"1402";"107"
"52";"1184";"108"
"52";"494";"109"
"52";"1492";"110"
"52";"422";"112"
"52";"1280";"113"
"52";"1368";"113"
"52";"1576";"114"
"52";"989";"115"
"52";"1107";"116"
"52";"1025";"117"
"52";"995";"118"
"52";"388";"119"
"52";"967";"120"
"52";"362";"121"
"52";"1183";"122"
"52";"387";"123"
"52";"493";"124"
"52";"496";"125"
"52";"382";"128"
"52";"391";"128"
"52";"1804";"128"
"52";"877";"129"
"52";"367";"130"
"52";"1066";"131"
"52";"306";"132"
"52";"326";"133"
"52";"1101";"134"
"52";"1067";"135"
"52";"371";"136"
"52";"1037";"137"
"52";"976";"138"
"52";"2307";"139"
"52";"2308";"140"
"52";"4643";"142"
"52";"4644";"144"
"52";"1721";"148"
"52";"4878";"148"
"52";"5351";"148"
"53";"426";"7"
"53";"425";"9"
"53";"463";"10"
"53";"466";"10"
"53";"464";"13"
"53";"1821";"13"
"53";"173";"15"
"53";"2124";"15"
